"","gnd_id","author","title","date","link"
"65538","http://d-nb.info/gnd/118616110","Oswald Spengler","Jahre der Entscheid…",1933,"https://kolimo.uni-goettingen.de/text.html?id=gb8200"
"69116","http://d-nb.info/gnd/11860743X","René Schickele","Die Witwe Bosca",1933,"https://kolimo.uni-goettingen.de/text.html?id=gb16388"
"69117","http://d-nb.info/gnd/11860743X","René Schickele","Himmlische Landscha…",1933,"https://kolimo.uni-goettingen.de/text.html?id=gb16380"
"18918","http://d-nb.info/gnd/118637843","Theodor Birt","Frauen der Antike",1932,"https://kolimo.uni-goettingen.de/text.html?id=gb8973"
"28441","http://d-nb.info/gnd/118535315","Sigmund Freud","Zur Gewinnung des F…",1932,"https://kolimo.uni-goettingen.de/text.html?id=gb12305"
"40353","http://d-nb.info/gnd/118706195","Josef Hofmiller","Versuche",1932,"https://kolimo.uni-goettingen.de/text.html?id=gb14065"
"40646","http://d-nb.info/gnd/118731254","Hugo Marti","Die Herberge am Flu…",1932,"https://kolimo.uni-goettingen.de/text.html?id=gb2958"
"49532","http://d-nb.info/gnd/118601121","Joachim Ringelnatz","Die Flasche und mit…",1932,"https://kolimo.uni-goettingen.de/text.html?id=gb1740"
"64440","http://d-nb.info/gnd/118585916","Robert Musil","Der Mann ohne Eigen…",1932,"https://kolimo.uni-goettingen.de/text.html?id=gb15578"
"77242","http://d-nb.info/gnd/117464546","Walter Seidl","Romeo im Fegefeuer",1932,"https://kolimo.uni-goettingen.de/text.html?id=gb15084"
"77383","http://d-nb.info/gnd/118637479","Stefan Zweig","Marie Antoinette",1932,"https://kolimo.uni-goettingen.de/text.html?id=gb6025"
"9440","http://d-nb.info/gnd/118609807","Arthur Schnitzler","Flucht in die Finst…",1931,"https://kolimo.uni-goettingen.de/text.html?id=gb8560"
"9466","http://d-nb.info/gnd/116681691","Artur Landsberger","Mensch und Richter",1931,"https://kolimo.uni-goettingen.de/text.html?id=gb15304"
"9654","http://d-nb.info/gnd/118997718","Annemarie Schwarzen…","Freunde um Bernhard",1931,"https://kolimo.uni-goettingen.de/text.html?id=gb2967"
"10045","http://d-nb.info/gnd/118674927","Alfred Brust","Der Lächler von Dun…",1931,"https://kolimo.uni-goettingen.de/text.html?id=gb9004"
